Symbol,Name,Sector,industry
ADES,"Advanced Emissions Solutions, Inc.",Basic Industries,Major Chemicals
AEGN,Aegion Corp,Basic Industries,Water Supply
AMRK,"A-Mark Precious Metals, Inc.",Basic Industries,Other Specialty Stores
AMRS,"Amyris, Inc.",Basic Industries,Major Chemicals
AMTX,"Aemetis, Inc",Basic Industries,Major Chemicals
AMWD,American Woodmark Corporation,Basic Industries,Forest Products
APWC,Asia Pacific Wire & Cable Corporation Limited,Basic Industries,Telecommunications Equipment
AQMS,"Aqua Metals, Inc.",Basic Industries,Metal Fabrications
BCPC,Balchem Corporation,Basic Industries,Major Chemicals
CADC,"China Advanced Construction Materials Group, Inc.",Basic Industries,Engineering & Construction
CDXS,"Codexis, Inc.",Basic Industries,Major Chemicals
CENX,Century Aluminum Company,Basic Industries,Aluminum
CETC,Hongli Clean Energy Technologies Corp.,Basic Industries,Steel/Iron Ore
CHNR,"China Natural Resources, Inc.",Basic Industries,Precious Metals
CRWS,"Crown Crafts, Inc.",Basic Industries,Textiles
CSWI,"CSW Industrials, Inc.",Basic Industries,Home Furnishings
CTIB,CTI Industries Corporation,Basic Industries,Specialty Chemicals
CVCO,"Cavco Industries, Inc.",Basic Industries,Homebuilding
DELT,Delta Technology Holdings Limited,Basic Industries,Major Chemicals
DELTW,Delta Technology Holdings Limited,Basic Industries,Major Chemicals
ERS,"Empire Resources, Inc.",Basic Industries,Metal Fabrications
EVGN,Evogene Ltd.,Basic Industries,Agricultural Chemicals
FHCO,Female Health Company (The),Basic Industries,Specialty Chemicals
FSTR,L.B. Foster Company,Basic Industries,Metal Fabrications
GEVO,"Gevo, Inc.",Basic Industries,Major Chemicals
GLDD,Great Lakes Dredge & Dock Corporation,Basic Industries,Military/Government/Technical
GOLD,Randgold Resources Limited,Basic Industries,Precious Metals
GPP,Green Plains Partners LP,Basic Industries,Major Chemicals
GPRE,"Green Plains, Inc.",Basic Industries,Major Chemicals
GURE,"Gulf Resources, Inc.",Basic Industries,Major Chemicals
HCCI,"Heritage-Crystal Clean, Inc.",Basic Industries,Miscellaneous
HYGS,Hydrogenics Corporation,Basic Industries,Major Chemicals
IOSP,Innospec Inc.,Basic Industries,Major Chemicals
LAYN,Layne Christensen Company,Basic Industries,Engineering & Construction
LMB,"Limbach Holdings, Inc.",Basic Industries,Engineering & Construction
LNDC,Landec Corporation,Basic Industries,Major Chemicals
MBII,"Marrone Bio Innovations, Inc.",Basic Industries,Agricultural Chemicals
MEOH,Methanex Corporation,Basic Industries,Major Chemicals
MERC,Mercer International Inc.,Basic Industries,Paper
MPVD,Mountain Province Diamonds Inc.,Basic Industries,Precious Metals
MRDN,"Meridian Waste Solutions, Inc",Basic Industries,Miscellaneous
MRDNW,"Meridian Waste Solutions, Inc",Basic Industries,Miscellaneous
MTRX,Matrix Service Company,Basic Industries,Engineering & Construction
MYRG,"MYR Group, Inc.",Basic Industries,Water Supply
NWPX,Northwest Pipe Company,Basic Industries,Steel/Iron Ore
OCC,Optical Cable Corporation,Basic Industries,Telecommunications Equipment
OSN,"Ossen Innovation Co., Ltd.",Basic Industries,Steel/Iron Ore
PAAS,Pan American Silver Corp.,Basic Industries,Precious Metals
PATK,"Patrick Industries, Inc.",Basic Industries,Forest Products
PEIX,"Pacific Ethanol, Inc.",Basic Industries,Major Chemicals
PESI,"Perma-Fix Environmental Services, Inc.",Basic Industries,Environmental Services
PGLC,Pershing Gold Corporation,Basic Industries,Precious Metals
PLPC,Preformed Line Products Company,Basic Industries,Water Supply
PRIM,Primoris Services Corporation,Basic Industries,Water Supply
REGI,"Renewable Energy Group, Inc.",Basic Industries,Major Chemicals
RGLD,"Royal Gold, Inc.",Basic Industries,Precious Metals
RGSE,"Real Goods Solar, Inc.",Basic Industries,Engineering & Construction
RKDA,"Arcadia Biosciences, Inc.",Basic Industries,Agricultural Chemicals
RTK,"Rentech, Inc.",Basic Industries,Agricultural Chemicals
SHLM,"A. Schulman, Inc.",Basic Industries,Major Chemicals
SMED,Sharps Compliance Corp,Basic Industries,Environmental Services
SNES,"SenesTech, Inc.",Basic Industries,Agricultural Chemicals
SRCL,"Stericycle, Inc.",Basic Industries,Environmental Services
SRCLP,"Stericycle, Inc.",Basic Industries,Environmental Services
SSRI,Silver Standard Resources Inc.,Basic Industries,Precious Metals
STLD,"Steel Dynamics, Inc.",Basic Industries,Steel/Iron Ore
STRL,Sterling Construction Company Inc,Basic Industries,Military/Government/Technical
SYMX,"Synthesis Energy Systems, Inc.",Basic Industries,Major Chemicals
SYNL,Synalloy Corporation,Basic Industries,Steel/Iron Ore
TANH,Tantech Holdings Ltd.,Basic Industries,Major Chemicals
TORM          ,TOR Minerals International Inc,Basic Industries,Major Chemicals
TVIA,"TerraVia Holdings, Inc.",Basic Industries,Major Chemicals
UFPI,"Universal Forest Products, Inc.",Basic Industries,Forest Products
URRE,"Uranium Resources, Inc.",Basic Industries,Precious Metals
USAP,"Universal Stainless & Alloy Products, Inc.",Basic Industries,Steel/Iron Ore
USLM,"United States Lime & Minerals, Inc.",Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
WDFC,WD-40 Company,Basic Industries,Major Chemicals
YTEN,"Yield10 Bioscience, Inc.",Basic Industries,Containers/Packaging
ZEUS,"Olympic Steel, Inc.",Basic Industries,Metal Fabrications
AAON,"AAON, Inc.",Capital Goods,Industrial Machinery/Components
ABAX,"ABAXIS, Inc.",Capital Goods,Industrial Machinery/Components
ACAT,Arctic Cat Inc.,Capital Goods,Industrial Specialties
AEHR,Aehr Test Systems,Capital Goods,Electrical Products
AEIS,"Advanced Energy Industries, Inc.",Capital Goods,Industrial Machinery/Components
AEMD,"Aethlon Medical, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments
AIMC,Altra Industrial Motion Corp.,Capital Goods,Industrial Machinery/Components
ALOG,Analogic Corporation,Capital Goods,Electrical Products
AMOT,"Allied Motion Technologies, Inc.",Capital Goods,Electrical Products
AOBC,American Outdoor Brands Corporation,Capital Goods,Ordnance And Accessories
APOG,"Apogee Enterprises, Inc.",Capital Goods,Auto Parts:O.E.M.
ARCW,"ARC Group Worldwide, Inc.",Capital Goods,Metal Fabrications
ARII,"American Railcar Industries, Inc.",Capital Goods,Railroads
ARTW,"Art&#39;s-Way Manufacturing Co., Inc.",Capital Goods,Industrial Machinery/Components
ASTC,Astrotech Corporation,Capital Goods,Military/Government/Technical
ASTE,"Astec Industries, Inc.",Capital Goods,Construction/Ag Equipment/Trucks
ATRO,Astronics Corporation,Capital Goods,Military/Government/Technical
AVAV,"AeroVironment, Inc.",Capital Goods,Aerospace
AVHI,"A V Homes, Inc.",Capital Goods,Homebuilding
AXDX,"Accelerate Diagnostics, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments
BEAV,"B/E Aerospace, Inc.",Capital Goods,Military/Government/Technical
BELFA,Bel Fuse Inc.,Capital Goods,Electrical Products
BELFB,Bel Fuse Inc.,Capital Goods,Electrical Products
BLBD,Blue Bird Corporation,Capital Goods,Construction/Ag Equipment/Trucks
BNSO,"Bonso Electronics International, Inc.",Capital Goods,Industrial Machinery/Components
BOOM,DMC Global Inc.,Capital Goods,Industrial Specialties
BRKR,Bruker Corporation,Capital Goods,Biotechnology: Laboratory Analytical Instruments
BWEN,"Broadwind Energy, Inc.",Capital Goods,Metal Fabrications
CAAS,"China Automotive Systems, Inc.",Capital Goods,Auto Parts:O.E.M.
CAMT,Camtek Ltd.,Capital Goods,Electronic Components
CCCL,"China Ceramics Co., Ltd.",Capital Goods,Building Materials
CDTI,"Clean Diesel Technologies, Inc.",Capital Goods,Pollution Control Equipment
CECE,CECO Environmental Corp.,Capital Goods,Pollution Control Equipment
CETX,Cemtrex Inc.,Capital Goods,Industrial Machinery/Components
CETXP,Cemtrex Inc.,Capital Goods,Industrial Machinery/Components
CETXW,Cemtrex Inc.,Capital Goods,Industrial Machinery/Components
CGNX,Cognex Corporation,Capital Goods,Industrial Machinery/Components
CHCI,"Comstock Holding Companies, Inc.",Capital Goods,Homebuilding
CLIR,ClearSign Combustion Corporation,Capital Goods,Industrial Machinery/Components
CLIRW,ClearSign Combustion Corporation,Capital Goods,Industrial Machinery/Components
CMCO,Columbus McKinnon Corporation,Capital Goods,Construction/Ag Equipment/Trucks
COHR,"Coherent, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments
COHU,"Cohu, Inc.",Capital Goods,Electrical Products
CPSH,CPS Technologies Corp.,Capital Goods,Building Materials
CSTE,Caesarstone Ltd.,Capital Goods,Building Materials
CTRL,Control4 Corporation,Capital Goods,Electrical Products
CVGI,"Commercial Vehicle Group, Inc.",Capital Goods,Auto Parts:O.E.M.
CXDC,China XD Plastics Company Limited,Capital Goods,Containers/Packaging
CYBE,CyberOptics Corporation,Capital Goods,Electronic Components
DAIO,Data I/O Corporation,Capital Goods,Electrical Products
DORM,"Dorman Products, Inc.",Capital Goods,Auto Parts:O.E.M.
DXPE,"DXP Enterprises, Inc.",Capital Goods,Industrial Machinery/Components
DYSL,Dynasil Corporation of America,Capital Goods,Industrial Machinery/Components
EACQ,Easterly Acquisition Corp.,Capital Goods,Building Products
EACQU,Easterly Acquisition Corp.,Capital Goods,Building Products
EACQW,Easterly Acquisition Corp.,Capital Goods,Building Products
EKSO,"Ekso Bionics Holdings, Inc.",Capital Goods,Industrial Machinery/Components
ELSE,"Electro-Sensors, Inc.",Capital Goods,Industrial Machinery/Components
EML,Eastern Company (The),Capital Goods,Industrial Machinery/Components
ESLT,Elbit Systems Ltd.,Capital Goods,Military/Government/Technical
EXFO,EXFO Inc,Capital Goods,Electrical Products
FARO,"FARO Technologies, Inc.",Capital Goods,Industrial Machinery/Components
FEIM,"Frequency Electronics, Inc.",Capital Goods,Electrical Products
FFHL,"Fuwei Films (Holdings) Co., Ltd.",Capital Goods,Specialty Chemicals
FLDM,Fluidigm Corporation,Capital Goods,Biotechnology: Laboratory Analytical Instruments
FLIR,"FLIR Systems, Inc.",Capital Goods,Industrial Machinery/Components
FRTA,"Forterra, Inc.",Capital Goods,Building Materials
FTEK,"Fuel Tech, Inc.",Capital Goods,Pollution Control Equipment
GENC,Gencor Industries Inc.,Capital Goods,Construction/Ag Equipment/Trucks
GEOS,Geospace Technologies Corporation,Capital Goods,Industrial Machinery/Components
GIFI,"Gulf Island Fabrication, Inc.",Capital Goods,Metal Fabrications
GIGA,Giga-tronics Incorporated,Capital Goods,Electrical Products
GNTX,Gentex Corporation,Capital Goods,Auto Parts:O.E.M.
GRBK,"Green Brick Partners, Inc.",Capital Goods,Homebuilding
GRMN,Garmin Ltd.,Capital Goods,Industrial Machinery/Components
GSM,Ferroglobe PLC,Capital Goods,Metal Fabrications
GTLS,"Chart Industries, Inc.",Capital Goods,Metal Fabrications
HAYN,"Haynes International, Inc.",Capital Goods,Steel/Iron Ore
HBIO,"Harvard Bioscience, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments
HDNG,Hardinge Inc.,Capital Goods,Industrial Machinery/Components
HEBT,"Hebron Technology Co., Ltd.",Capital Goods,Metal Fabrications
HIHO,Highway Holdings Limited,Capital Goods,Metal Fabrications
HNH,Handy & Harman Ltd.,Capital Goods,Industrial Specialties
HOVNP,Hovnanian Enterprises Inc,Capital Goods,Homebuilding
HTGM,"HTG Molecular Diagnostics, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments
HURC,"Hurco Companies, Inc.",Capital Goods,Industrial Machinery/Components
IART,Integra LifeSciences Holdings Corporation,Capital Goods,Biotechnology: Laboratory Analytical Instruments
IEP,Icahn Enterprises L.P.,Capital Goods,Auto Parts:O.E.M.
IESC,"IES Holdings, Inc.",Capital Goods,Engineering & Construction
IIIN,"Insteel Industries, Inc.",Capital Goods,Steel/Iron Ore
IIN,IntriCon Corporation,Capital Goods,Electrical Products
IIVI,II-VI Incorporated,Capital Goods,Electronic Components
ILMN,"Illumina, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments
ISNS,"Image Sensing Systems, Inc.",Capital Goods,Industrial Machinery/Components
ITRI,"Itron, Inc.",Capital Goods,Electrical Products
KALU,Kaiser Aluminum Corporation,Capital Goods,Metal Fabrications
KEQU,Kewaunee Scientific Corporation,Capital Goods,Medical Specialities
KLAC,KLA-Tencor Corporation,Capital Goods,Electronic Components
KLXI,KLX Inc.,Capital Goods,Aerospace
KNDI,"Kandi Technologies Group, Inc.",Capital Goods,Auto Manufacturing
KOOL,Cesca Therapeutics Inc.,Capital Goods,Medical Specialities
KRNT,Kornit Digital Ltd.,Capital Goods,Industrial Machinery/Components
KTOS,"Kratos Defense & Security Solutions, Inc.",Capital Goods,Military/Government/Technical
LCUT,"Lifetime Brands, Inc.",Capital Goods,Industrial Machinery/Components
LGIH,"LGI Homes, Inc.",Capital Goods,Homebuilding
LMIA,"LMI Aerospace, Inc.",Capital Goods,Military/Government/Technical
MATW,Matthews International Corporation,Capital Goods,Metal Fabrications
MBUU,"Malibu Boats, Inc.",Capital Goods,Marine Transportation
MCFT,"MCBC Holdings, Inc.",Capital Goods,Marine Transportation
MFRI,"MFRI, Inc.",Capital Goods,Pollution Control Equipment
MICT,"Micronet Enertec Technologies, Inc.",Capital Goods,Electrical Products
MICTW,"Micronet Enertec Technologies, Inc.",Capital Goods,Electrical Products
MINI,"Mobile Mini, Inc.",Capital Goods,Metal Fabrications
MKSI,"MKS Instruments, Inc.",Capital Goods,Industrial Machinery/Components
MLAB,"Mesa Laboratories, Inc.",Capital Goods,Industrial Machinery/Components
MOCO,"MOCON, Inc.",Capital Goods,Industrial Machinery/Components
MPAA,"Motorcar Parts of America, Inc.",Capital Goods,Auto Parts:O.E.M.
MRCY,Mercury Systems Inc,Capital Goods,Electrical Products
MSON,"MISONIX, Inc.",Capital Goods,Medical Specialities
MTSC,MTS Systems Corporation,Capital Goods,Industrial Machinery/Components
MVIS,"Microvision, Inc.",Capital Goods,Industrial Machinery/Components
NANO,Nanometrics Incorporated,Capital Goods,Industrial Machinery/Components
NDSN,Nordson Corporation,Capital Goods,Industrial Machinery/Components
NEON,Neonode Inc.,Capital Goods,Industrial Machinery/Components
NFEC,NF Energy Saving Corporation,Capital Goods,Metal Fabrications
NNBR,"NN, Inc.",Capital Goods,Metal Fabrications
NSYS,Nortech Systems Incorporated,Capital Goods,Industrial Machinery/Components
NTIC,Northern Technologies International Corporation,Capital Goods,Industrial Specialties
NVMI,Nova Measuring Instruments Ltd.,Capital Goods,Electronic Components
OFLX,"Omega Flex, Inc.",Capital Goods,Industrial Specialties
OLED,Universal Display Corporation,Capital Goods,Electrical Products
ORBK,Orbotech Ltd.,Capital Goods,Industrial Machinery/Components
PACB,"Pacific Biosciences of California, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments
PCAR,PACCAR Inc.,Capital Goods,Auto Manufacturing
PGTI,"PGT Innovations, Inc.",Capital Goods,Building Products
PI,"Impinj, Inc.",Capital Goods,Industrial Machinery/Components
PKOH,Park-Ohio Holdings Corp.,Capital Goods,Industrial Specialties
PRCP,"Perceptron, Inc.",Capital Goods,Electronic Components
PSDV,pSivida Corp.,Capital Goods,Biotechnology: Laboratory Analytical Instruments
RAIL,"Freightcar America, Inc.",Capital Goods,Railroads
RAVN,"Raven Industries, Inc.",Capital Goods,Specialty Chemicals
RFIL,"RF Industries, Ltd.",Capital Goods,Electrical Products
ROCK,"Gibraltar Industries, Inc.",Capital Goods,Steel/Iron Ore
ROKA,"Roka Bioscience, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments
ROLL,RBC Bearings Incorporated,Capital Goods,Metal Fabrications
RUN,Sunrun Inc.,Capital Goods,Industrial Specialties
SHLO,"Shiloh Industries, Inc.",Capital Goods,Industrial Specialties
SMIT,"Schmitt Industries, Inc.",Capital Goods,Industrial Machinery/Components
SNHY,Sun Hydraulics Corporation,Capital Goods,Metal Fabrications
SORL,"SORL Auto Parts, Inc.",Capital Goods,Auto Parts:O.E.M.
SPAR,"Spartan Motors, Inc.",Capital Goods,Auto Manufacturing
STRT,Strattec Security Corporation,Capital Goods,Auto Parts:O.E.M.
SYPR,"Sypris Solutions, Inc.",Capital Goods,Industrial Machinery/Components
TASR,"TASER International, Inc.",Capital Goods,Ordnance And Accessories
TATT,TAT Technologies Ltd.,Capital Goods,Aerospace
TAYD,"Taylor Devices, Inc.",Capital Goods,Industrial Machinery/Components
TGEN,Tecogen Inc.,Capital Goods,Industrial Machinery/Components
THRM,Gentherm Inc,Capital Goods,Auto Parts:O.E.M.
TNAV,"Telenav, Inc.",Capital Goods,Industrial Machinery/Components
TRMB,Trimble Inc.,Capital Goods,Industrial Machinery/Components
TRNS,"Transcat, Inc.",Capital Goods,Electrical Products
TRS,TriMas Corporation,Capital Goods,Industrial Specialties
TSLA,"Tesla, Inc. ",Capital Goods,Auto Manufacturing
UFPT,"UFP Technologies, Inc.",Capital Goods,Containers/Packaging
UNXL,"Uni-Pixel, Inc.",Capital Goods,Industrial Machinery/Components
USCR,"U S Concrete, Inc.",Capital Goods,Building Materials
VICR,Vicor Corporation,Capital Goods,Industrial Machinery/Components
VREX,Varex Imaging Corporation,Capital Goods,Industrial Machinery/Components
WIRE,Encore Wire Corporation,Capital Goods,Metal Fabrications
WKHS,"Workhorse Group, Inc.",Capital Goods,Auto Manufacturing
XCRA,Xcerra Corporation,Capital Goods,Electrical Products
XONE,The ExOne Company,Capital Goods,Industrial Machinery/Components
XXIA,Ixia,Capital Goods,Electrical Products
YECO,Yulong Eco-Materials Limited,Capital Goods,Building Materials
AMSC,American Superconductor Corporation,Consumer Durables,Metal Fabrications
BSET,"Bassett Furniture Industries, Incorporated",Consumer Durables,Home Furnishings
CASY,"Caseys General Stores, Inc.",Consumer Durables,Automotive Aftermarket
CDXC,ChromaDex Corporation,Consumer Durables,Specialty Chemicals
CENT,Central Garden & Pet Company,Consumer Durables,Consumer Specialties
CENTA,Central Garden & Pet Company,Consumer Durables,Consumer Specialties
CJJD,"China Jo-Jo Drugstores, Inc.",Consumer Durables,Specialty Chemicals
CLWT,Euro Tech Holdings Company Limited,Consumer Durables,Diversified Electronic Products
CPRT,"Copart, Inc.",Consumer Durables,Automotive Aftermarket
CRMT,"America&#39;s Car-Mart, Inc.",Consumer Durables,Automotive Aftermarket
CTHR,Charles & Colvard Ltd,Consumer Durables,Consumer Specialties
CYAN,Cyanotech Corporation,Consumer Durables,Specialty Chemicals
DAKT,"Daktronics, Inc.",Consumer Durables,Miscellaneous manufacturing industries
DXYN,"The Dixie Group, Inc.",Consumer Durables,Home Furnishings
EDUC,Educational Development Corporation,Consumer Durables,Consumer Specialties
EFOI,"Energy Focus, Inc.",Consumer Durables,Building Products
EGT,Entertainment Gaming Asia Incorporated,Consumer Durables,Miscellaneous manufacturing industries
ENZY          ,Enzymotec Ltd.,Consumer Durables,Specialty Chemicals
FELE,"Franklin Electric Co., Inc.",Consumer Durables,Metal Fabrications
FLXS,"Flexsteel Industries, Inc.",Consumer Durables,Home Furnishings
FOMX,Foamix Pharmaceuticals Ltd.,Consumer Durables,Specialty Chemicals
GPIA,GP Investments Acquisition Corp.,Consumer Durables,Home Furnishings
GPIAU,GP Investments Acquisition Corp.,Consumer Durables,Home Furnishings
GPIAW,GP Investments Acquisition Corp.,Consumer Durables,Home Furnishings
GT,The Goodyear Tire & Rubber Company,Consumer Durables,Automotive Aftermarket
HDSN,"Hudson Technologies, Inc.",Consumer Durables,Industrial Specialties
HEAR,Turtle Beach Corporation,Consumer Durables,Telecommunications Equipment
HELE,Helen of Troy Limited,Consumer Durables,Home Furnishings
HOFT,Hooker Furniture Corporation,Consumer Durables,Home Furnishings
HWKN,"Hawkins, Inc.",Consumer Durables,Specialty Chemicals
IDSA,"Industrial Services of America, Inc.",Consumer Durables,Industrial Specialties
IDSY,"I.D. Systems, Inc.",Consumer Durables,Telecommunications Equipment
INSG,Inseego Corp.,Consumer Durables,Telecommunications Equipment
INWK,"InnerWorkings, Inc.",Consumer Durables,Containers/Packaging
IPHS,"Innophos Holdings, Inc.",Consumer Durables,Specialty Chemicals
IRBT,iRobot Corporation,Consumer Durables,Consumer Electronics/Appliances
IRDM,Iridium Communications Inc,Consumer Durables,Telecommunications Equipment
IRDMB,Iridium Communications Inc,Consumer Durables,Telecommunications Equipment
ITI,"Iteris, Inc.",Consumer Durables,Telecommunications Equipment
JASN,"Jason Industries, Inc.",Consumer Durables,Miscellaneous manufacturing industries
JASNW,"Jason Industries, Inc.",Consumer Durables,Miscellaneous manufacturing industries
KBAL,"Kimball International, Inc.",Consumer Durables,Home Furnishings
LAWS,"Lawson Products, Inc.",Consumer Durables,Industrial Specialties
LFUS,"Littelfuse, Inc.",Consumer Durables,Electrical Products
LITE,Lumentum Holdings Inc.,Consumer Durables,Telecommunications Equipment
LYTS,LSI Industries Inc.,Consumer Durables,Building Products
MAGS,Magal Security Systems Ltd.,Consumer Durables,Telecommunications Equipment
MDWD,MediWound Ltd.,Consumer Durables,Specialty Chemicals
MLHR,"Herman Miller, Inc.",Consumer Durables,Office Equipment/Supplies/Services
MTEX,"Mannatech, Incorporated",Consumer Durables,Specialty Chemicals
NAII,"Natural Alternatives International, Inc.",Consumer Durables,Specialty Chemicals
NHTC,Natural Health Trends Corp.,Consumer Durables,Consumer Specialties
NMRX,Numerex Corp.,Consumer Durables,Telecommunications Equipment
NSSC,"NAPCO Security Technologies, Inc.",Consumer Durables,Telecommunications Equipment
NUTR,Nutraceutical International Corporation,Consumer Durables,Specialty Chemicals
NVFY,"Nova Lifestyle, Inc",Consumer Durables,Home Furnishings
NXEO,"Nexeo Solutions, Inc.",Consumer Durables,Specialty Chemicals
NXEOU,"Nexeo Solutions, Inc.",Consumer Durables,Specialty Chemicals
NXEOW,"Nexeo Solutions, Inc.",Consumer Durables,Specialty Chemicals
OBCI,"Ocean Bio-Chem, Inc.",Consumer Durables,Specialty Chemicals
OESX,"Orion Energy Systems, Inc.",Consumer Durables,Building Products
POOL,Pool Corporation,Consumer Durables,Industrial Specialties
POWL,"Powell Industries, Inc.",Consumer Durables,Electrical Products
PPSI,"Pioneer Power Solutions, Inc.",Consumer Durables,Electrical Products
RUSHA,"Rush Enterprises, Inc.",Consumer Durables,Automotive Aftermarket
RUSHB,"Rush Enterprises, Inc.",Consumer Durables,Automotive Aftermarket
RVLT,"Revolution Lighting Technologies, Inc.",Consumer Durables,Building Products
SCHN,"Schnitzer Steel Industries, Inc.",Consumer Durables,Industrial Specialties
SCSS,Select Comfort Corporation,Consumer Durables,Home Furnishings
SGLB,"Sigma Labs, Inc.",Consumer Durables,Miscellaneous manufacturing industries
SGLBW,"Sigma Labs, Inc.",Consumer Durables,Miscellaneous manufacturing industries
SLGN,Silgan Holdings Inc.,Consumer Durables,Containers/Packaging
SODA,SodaStream International Ltd.,Consumer Durables,Consumer Electronics/Appliances
STLY,"Stanley Furniture Company, Inc.",Consumer Durables,Home Furnishings
SUMR,"Summer Infant, Inc.",Consumer Durables,Miscellaneous manufacturing industries
TA,TravelCenters of America LLC,Consumer Durables,Automotive Aftermarket
TANNI,TravelCenters of America LLC,Consumer Durables,Automotive Aftermarket
TANNL,TravelCenters of America LLC,Consumer Durables,Automotive Aftermarket
TANNZ,TravelCenters of America LLC,Consumer Durables,Automotive Aftermarket
TGLS,Tecnoglass Inc.,Consumer Durables,Electronic Components
TILE,"Interface, Inc.",Consumer Durables,Home Furnishings
UTSI,UTStarcom Holdings Corp,Consumer Durables,Telecommunications Equipment
VIRC,Virco Manufacturing Corporation,Consumer Durables,Industrial Specialties
VWR,VWR Corporation,Consumer Durables,Diversified Electronic Products
WLFC,Willis Lease Finance Corporation,Consumer Durables,Industrial Specialties
WMAR,"West Marine, Inc.",Consumer Durables,Automotive Aftermarket
XGTI,"XG Technology, Inc",Consumer Durables,Telecommunications Equipment
XGTIW,"XG Technology, Inc",Consumer Durables,Telecommunications Equipment
ABAC,"Aoxin Tianli Group, Inc.",Consumer Non-Durables,Farming/Seeds/Milling
ALCO,"Alico, Inc.",Consumer Non-Durables,Farming/Seeds/Milling
BDE,"Black Diamond, Inc.",Consumer Non-Durables,Recreational Products/Toys
BEBE,"bebe stores, inc.",Consumer Non-Durables,Apparel
BREW,"Craft Brew Alliance, Inc.",Consumer Non-Durables,Beverages (Production/Distribution)
BRID,Bridgford Foods Corporation,Consumer Non-Durables,Specialty Foods
BUFF,"Blue Buffalo Pet Products, Inc.",Consumer Non-Durables,Packaged Foods
BUR,Burcon NutraScience Corp,Consumer Non-Durables,Packaged Foods
CALM,"Cal-Maine Foods, Inc.",Consumer Non-Durables,Farming/Seeds/Milling
CHEF,"The Chefs&#39; Warehouse, Inc.",Consumer Non-Durables,Food Distributors
CHKE,Cherokee Inc.,Consumer Non-Durables,Apparel
COKE,Coca-Cola Bottling Co. Consolidated,Consumer Non-Durables,Beverages (Production/Distribution)
COLM,Columbia Sportswear Company,Consumer Non-Durables,Apparel
CORE,"Core-Mark Holding Company, Inc.",Consumer Non-Durables,Food Distributors
CROX,"Crocs, Inc.",Consumer Non-Durables,Shoe Manufacturing
CTAS,Cintas Corporation,Consumer Non-Durables,Apparel
CUI,"CUI Global, Inc.",Consumer Non-Durables,Electronic Components
CVGW,"Calavo Growers, Inc.",Consumer Non-Durables,Farming/Seeds/Milling
DFBG,Differential Brands Group Inc.,Consumer Non-Durables,Apparel
DSWL,"Deswell Industries, Inc.",Consumer Non-Durables,Plastic Products
DTEA,DAVIDsTEA Inc.,Consumer Non-Durables,Food Chains
ENTG,"Entegris, Inc.",Consumer Non-Durables,Plastic Products
ESCA,"Escalade, Incorporated",Consumer Non-Durables,Recreational Products/Toys
EVK,"Ever-Glory International Group, Inc.",Consumer Non-Durables,Apparel
FARM,Farmer Brothers Company,Consumer Non-Durables,Packaged Foods
FIZZ,National Beverage Corp.,Consumer Non-Durables,Beverages (Production/Distribution)
FORD,"Forward Industries, Inc.",Consumer Non-Durables,Plastic Products
FORK,Fuling Global Inc.,Consumer Non-Durables,Plastic Products
FOSL,"Fossil Group, Inc.",Consumer Non-Durables,Consumer Specialties
FOXF,Fox Factory Holding Corp.,Consumer Non-Durables,Motor Vehicles
FRPT,"Freshpet, Inc.",Consumer Non-Durables,Packaged Foods
GIII,"G-III Apparel Group, LTD.",Consumer Non-Durables,Apparel
GPIC,Gaming Partners International Corporation,Consumer Non-Durables,Recreational Products/Toys
HAIN,"The Hain Celestial Group, Inc.",Consumer Non-Durables,Packaged Foods
HAS,"Hasbro, Inc.",Consumer Non-Durables,Recreational Products/Toys
HWCC,Houston Wire & Cable Company,Consumer Non-Durables,Telecommunications Equipment
ICON,"Iconix Brand Group, Inc.",Consumer Non-Durables,Shoe Manufacturing
IFON,InfoSonics Corp,Consumer Non-Durables,Electronic Components
IPAR,"Inter Parfums, Inc.",Consumer Non-Durables,Package Goods/Cosmetics
ITRN,Ituran Location and Control Ltd.,Consumer Non-Durables,Electronic Components
JAKK,"JAKKS Pacific, Inc.",Consumer Non-Durables,Recreational Products/Toys
JBSS,"John B. Sanfilippo & Son, Inc.",Consumer Non-Durables,Specialty Foods
JJSF,J & J Snack Foods Corp.,Consumer Non-Durables,Specialty Foods
JOUT,Johnson Outdoors Inc.,Consumer Non-Durables,Recreational Products/Toys
JVA,"Coffee Holding Co., Inc.",Consumer Non-Durables,Food Distributors
KBSF,KBS Fashion Group Limited,Consumer Non-Durables,Apparel
KHC,The Kraft Heinz Company,Consumer Non-Durables,Packaged Foods
KOSS,Koss Corporation,Consumer Non-Durables,Consumer Electronics/Appliances
LANC,Lancaster Colony Corporation,Consumer Non-Durables,Packaged Foods
LBIX,Leading Brands Inc,Consumer Non-Durables,Beverages (Production/Distribution)
